vid_id,length,name,test_set,eval_set,train_set
0,1966,9624HD Bin.01-H264-480.mp4,,,0
1,1010,7695HD Bin.01-H264-480.mp4,,,0
2,2962,11004HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
3,2047,10333HD Bin.01-H264-1080.mp4,0,,
4,1820,11488HD Bin.01-H264-1080.mp4,0,,
5,2804,11839HD-H264 MP4 1080p25 12MBs .mp4,0,,
6,2583,11681hd-20161003-122242-H264 MP4 1080p25 12MBs .mp4,0,,
7,2937,8870HD Bin.01-H264-480.mp4,,,0
8,2877,7860HD-H264-480.mp4,,,0
9,2694,8610HD Bin.01-H264-480.mp4,,,0
10,1627,9955HD Bin.01-H264-480.mp4,,,0
11,1407,8123HD Bin.01-H264-480.mp4,,,0
12,4056,11115HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
13,3643,11368HD Bin.01-H264-1080.mp4,0,,
14,2017,8554HD Bin.02-H264-480.mp4,,,0
15,1753,7964HD Bin.01-H264-480.mp4,,,0
16,2649,8148HD Bin.01-H264-480.mp4,0,,
17,2470,11450HD Bin.01-H264-1080.mp4,0,,
18,1517,10586HD Bin.01-H264-1080.mp4,0,,
19,4570,9642HD Bin.01-H264-480.mp4,,,0
20,1704,7535HD Bin.01-H264-480.mp4,,,0
21,3152,10367HD Bin.01-H264-1080.mp4,0,,
22,2026,9443HD Bin.01-H264-480.mp4,,,0
23,3079,7654HD Bin.01-H264-480.mp4,,,0
24,3907,10920HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
25,3410,10206HD Bin.01-H264-1080.mp4,,,0
26,912,11816HD-H264 MP4 1080p25 12MBs .mp4,0,,
27,2252,8353HD Bin.01-H264-480.mp4,,,0
28,1232,12029HD-H264 MP4 1080p25 12MBs .mp4,0,,
29,1252,7932HD Bin.01-H264-480.mp4,,0,
30,1477,11847HD-H264 MP4 1080p25 12MBs .mp4,0,,
31,3155,11657HD-20160926-142922-H264 MP4 1080p25 12MBs .mp4,0,,
32,3747,8611HD Bin.01-H264-480.mp4,,,0
33,1990,8897HD Bin.01-H264-480.mp4,,0,
34,1461,7487HD Bin.01-H264-480.mp4,,,0
35,3766,11476HD Bin.01-H264-1080.mp4,0,,
36,2350,11067HD Bin.01-H264-1080.mp4,0,,
37,2274,12059HD-H264 MP4 1080p25 12MBs .mp4,0,,
38,3009,9081HD Bin.01-H264-480.mp4,,0,
39,1187,9674HD Bin.01-H264-480.mp4,,,0
40,1764,8714HD Bin.01-H264-480.mp4,,,0
41,2720,11002HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
42,3204,11032HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
43,1553,9152HD Bin.01-H264-480.mp4,,,0
44,2526,9361HD Bin.01-H264-480.mp4,,,0
45,2101,9292HD Bin.01-H264-480.mp4,,,0
46,1569,8132HD-H264-480.mp4,,,0
47,1893,11585HD-Vesicule-20160907-083348-H264 MP4 1080p25 12MBs .mp4,0,,
48,986,9357HD Bin.01-H264-480.mp4,,,0
49,1814,10254HD Bin.01-H264-1080.mp4,0,,
50,1949,10904HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
51,1711,7013HD Bin.01-H264-480.mp4,,0,
52,3902,11168HD Bin.01-H264 1080 CBR 12Mbps.mp4,0,,
53,1994,7754HD Bin.01-H264-480.mp4,,0,
54,2391,9531HD Bin.01-H264-480.mp4,,,0
55,3381,8070HD Bin.01-H264-480.mp4,,,0
